country code,Indicator,CPI Score 2012,CPI Score 2013,CPI score 2014,CPI score 2015,CPI score 2016,CPI score 2017,CPI score 2018,CPI score 2019,CPI score 2020,CPI score 2021
DNK,CPI.INDEX,90,91,92,91,90,88,88,87,88,0
NZL,CPI.INDEX,90,91,91,91,90,89,87,87,88,0
FIN,CPI.INDEX,90,89,89,90,89,85,85,86,85,0
SGP,CPI.INDEX,87,86,84,85,84,84,85,85,85,0
SWE,CPI.INDEX,88,89,87,89,88,84,85,85,85,0
CHE,CPI.INDEX,86,85,86,86,86,85,85,85,85,0
NOR,CPI.INDEX,85,86,86,88,85,85,84,84,84,0
NLD,CPI.INDEX,84,83,83,84,83,82,82,82,82,0
DEU,CPI.INDEX,79,78,79,81,81,81,80,80,80,0
LUX,CPI.INDEX,80,80,82,85,81,82,81,80,80,0
AUS,CPI.INDEX,85,81,80,79,79,77,77,77,77,0
CAN,CPI.INDEX,84,81,81,83,82,82,81,77,77,0
HKG,CPI.INDEX,77,75,74,75,77,77,76,76,77,0
GBR,CPI.INDEX,74,76,78,81,81,82,80,77,77,0
AUT,CPI.INDEX,69,69,72,76,75,75,76,77,76,0
BEL,CPI.INDEX,75,75,76,77,77,75,75,75,76,0
EST,CPI.INDEX,64,68,69,70,70,71,73,74,75,0
ISL,CPI.INDEX,82,78,79,79,78,77,76,78,75,0
JPN,CPI.INDEX,74,74,76,75,72,73,73,73,74,0
IRL,CPI.INDEX,69,72,74,75,73,74,73,74,72,0
ARE,CPI.INDEX,68,69,70,70,66,71,70,71,71,0
URY,CPI.INDEX,72,73,73,74,71,70,70,71,71,0
FRA,CPI.INDEX,71,71,69,70,69,70,72,69,69,0
BTN,CPI.INDEX,63,63,65,65,65,67,68,68,68,0
CHL,CPI.INDEX,72,71,73,70,66,67,67,67,67,0
USA,CPI.INDEX,73,73,74,76,74,75,71,69,67,0
SYC,CPI.INDEX,52,54,55,55,,60,66,66,66,0
TWN,CPI.INDEX,61,61,61,62,61,63,63,65,65,0
BRB,CPI.INDEX,76,75,74,,61,68,68,62,64,0
BHS,CPI.INDEX,71,71,71,,66,65,65,64,63,0
QAT,CPI.INDEX,68,68,69,71,61,63,62,62,63,0
ESP,CPI.INDEX,65,59,60,58,58,57,58,62,62,0
KOR,CPI.INDEX,56,55,55,54,53,54,57,59,61,0
PRT,CPI.INDEX,63,62,63,64,62,63,64,62,61,0
BWA,CPI.INDEX,65,64,63,63,60,61,61,61,60,0
BRN,CPI.INDEX,55,60,,,58,62,63,60,60,0
ISR,CPI.INDEX,60,61,60,61,64,62,61,60,60,0
LTU,CPI.INDEX,54,57,58,59,59,59,59,60,60,0
SVN,CPI.INDEX,61,57,58,60,61,61,60,60,60,0
VCT,CPI.INDEX,62,62,62,,60,58,58,59,59,0
CPV,CPI.INDEX,60,58,57,55,59,55,57,58,58,0
CRI,CPI.INDEX,54,53,54,55,58,59,56,56,57,0
CYP,CPI.INDEX,66,63,63,61,55,57,59,58,57,0
LVA,CPI.INDEX,49,53,55,56,57,58,58,56,57,0
GEO,CPI.INDEX,52,49,52,52,57,56,58,56,56,0
POL,CPI.INDEX,58,60,61,63,62,60,60,58,56,0
LCA,CPI.INDEX,71,71,71,,60,55,55,55,56,0
DMA,CPI.INDEX,58,58,58,,59,57,57,55,55,0
CZE,CPI.INDEX,49,48,51,56,55,57,59,56,54,0
OMN,CPI.INDEX,47,47,45,45,45,44,52,52,54,0
RWA,CPI.INDEX,53,53,49,54,54,55,56,53,54,0
GRD,CPI.INDEX,,,,,56,52,52,53,53,0
ITA,CPI.INDEX,42,43,43,44,47,50,52,53,53,0
MLT,CPI.INDEX,57,56,55,60,55,56,54,54,53,0
MUS,CPI.INDEX,57,52,54,53,54,50,51,52,53,0
SAU,CPI.INDEX,44,46,49,52,46,49,49,53,53,0
MYS,CPI.INDEX,49,50,52,50,49,47,47,53,51,0
NAM,CPI.INDEX,48,48,49,53,52,51,53,52,51,0
GRC,CPI.INDEX,36,40,43,46,44,48,45,48,50,0
ARM,CPI.INDEX,34,36,37,35,33,35,35,42,49,0
JOR,CPI.INDEX,48,45,49,53,48,48,49,48,49,0
SVK,CPI.INDEX,46,47,50,51,51,50,50,50,49,0
BLR,CPI.INDEX,31,29,31,32,40,44,44,45,47,0
HRV,CPI.INDEX,46,48,48,51,49,49,48,47,47,0
CUB,CPI.INDEX,48,46,46,47,47,47,47,48,47,0
STP,CPI.INDEX,42,42,42,42,46,46,46,46,47,0
MNE,CPI.INDEX,41,44,42,44,45,46,45,45,45,0
SEN,CPI.INDEX,36,41,43,44,45,45,45,45,45,0
BGR,CPI.INDEX,41,41,43,41,41,43,42,43,44,0
HUN,CPI.INDEX,55,54,54,51,48,45,46,44,44,0
JAM,CPI.INDEX,38,38,38,41,39,44,44,43,44,0
ROU,CPI.INDEX,44,43,43,46,48,48,47,44,44,0
ZAF,CPI.INDEX,43,42,44,44,45,43,43,44,44,0
TUN,CPI.INDEX,41,41,40,38,41,42,43,43,44,0
GHA,CPI.INDEX,45,46,48,47,43,40,41,41,43,0
MDV,CPI.INDEX,,,,,36,33,31,29,43,0
VUT,CPI.INDEX,,,,,,43,46,46,43,0
ARG,CPI.INDEX,35,34,34,32,36,39,40,45,42,0
BHR,CPI.INDEX,51,48,49,51,43,36,36,42,42,0
CHN,CPI.INDEX,39,40,36,37,40,41,39,41,42,0
KWT,CPI.INDEX,44,43,44,49,41,39,41,40,42,0
SLB,CPI.INDEX,,,,,42,39,44,42,42,0
BEN,CPI.INDEX,36,36,39,37,36,39,40,41,41,0
GUY,CPI.INDEX,28,27,30,29,34,38,37,40,41,0
LSO,CPI.INDEX,45,49,49,44,39,42,41,40,41,0
BFA,CPI.INDEX,38,38,38,38,42,42,41,40,40,0
IND,CPI.INDEX,36,36,38,38,40,40,41,41,40,0
MAR,CPI.INDEX,37,37,39,36,37,40,43,41,40,0
TLS,CPI.INDEX,33,30,28,28,35,38,35,38,40,0
TTO,CPI.INDEX,39,38,38,39,35,41,41,40,40,0
TUR,CPI.INDEX,49,50,45,42,41,40,41,39,40,0
COL,CPI.INDEX,36,36,37,37,37,37,36,37,39,0
ECU,CPI.INDEX,32,35,33,32,31,32,34,38,39,0
BRA,CPI.INDEX,43,42,43,38,40,37,35,35,38,0
ETH,CPI.INDEX,33,33,33,33,34,35,34,37,38,0
KAZ,CPI.INDEX,28,26,29,28,29,31,31,34,38,0
PER,CPI.INDEX,38,38,38,36,35,37,35,36,38,0
SRB,CPI.INDEX,39,42,41,40,42,41,39,39,38,0
LKA,CPI.INDEX,40,37,38,37,36,38,38,38,38,0
SUR,CPI.INDEX,37,36,36,36,45,41,43,44,38,0
TZA,CPI.INDEX,35,33,31,30,32,36,36,37,38,0
GMB,CPI.INDEX,34,28,29,28,26,30,37,37,37,0
IDN,CPI.INDEX,32,32,34,36,37,37,38,40,37,0
ALB,CPI.INDEX,33,31,33,36,39,38,36,35,36,0
DZA,CPI.INDEX,34,36,36,36,34,33,35,35,36,0
CIV,CPI.INDEX,29,27,32,32,34,36,35,35,36,0
SLV,CPI.INDEX,38,38,39,39,36,33,35,34,36,0
KSV,CPI.INDEX,34,33,33,33,36,39,37,36,36,0
THA,CPI.INDEX,37,35,38,38,35,37,36,36,36,0
VNM,CPI.INDEX,31,31,31,31,33,35,33,37,36,0
BIH,CPI.INDEX,42,42,39,38,39,38,38,36,35,0
MNG,CPI.INDEX,36,38,39,39,38,36,37,35,35,0
MKD,CPI.INDEX,43,44,45,42,37,35,37,35,35,0
PAN,CPI.INDEX,38,35,37,39,38,37,37,36,35,0
MDA,CPI.INDEX,36,35,35,33,30,31,33,32,34,0
PHL,CPI.INDEX,34,36,38,35,35,34,36,34,34,0
EGY,CPI.INDEX,32,32,37,36,34,32,35,35,33,0
SWZ,CPI.INDEX,37,39,43,,,39,38,34,33,0
NPL,CPI.INDEX,27,31,29,27,29,31,31,34,33,0
SLE,CPI.INDEX,31,30,31,29,30,30,30,33,33,0
UKR,CPI.INDEX,26,25,26,27,29,30,32,30,33,0
ZMB,CPI.INDEX,37,38,38,38,38,37,35,34,33,0
NER,CPI.INDEX,33,34,35,34,35,33,34,32,32,0
BOL,CPI.INDEX,34,34,35,34,33,33,29,31,31,0
KEN,CPI.INDEX,27,27,25,25,26,28,27,28,31,0
KGZ,CPI.INDEX,24,24,27,28,28,29,29,30,31,0
MEX,CPI.INDEX,34,34,35,31,30,29,28,29,31,0
PAK,CPI.INDEX,27,28,29,30,32,32,33,32,31,0
AZE,CPI.INDEX,27,28,29,29,30,31,25,30,30,0
GAB,CPI.INDEX,35,34,37,34,35,32,31,31,30,0
MWI,CPI.INDEX,37,37,33,31,31,31,32,31,30,0
MLI,CPI.INDEX,34,28,32,35,32,31,32,29,30,0
RUS,CPI.INDEX,28,28,27,29,29,29,28,28,30,0
LAO,CPI.INDEX,21,26,25,25,30,29,29,29,29,0
MRT,CPI.INDEX,31,30,30,31,27,28,27,28,29,0
TGO,CPI.INDEX,30,29,29,32,32,32,30,29,29,0
DOM,CPI.INDEX,32,29,32,33,31,29,30,28,28,0
GIN,CPI.INDEX,24,24,25,25,27,27,28,29,28,0
LBR,CPI.INDEX,41,38,37,37,37,31,32,28,28,0
MMR,CPI.INDEX,15,21,21,22,28,30,29,29,28,0
PRY,CPI.INDEX,25,24,24,27,30,29,29,28,28,0
AGO,CPI.INDEX,22,23,19,15,18,19,19,26,27,0
DJI,CPI.INDEX,36,36,34,34,30,31,31,30,27,0
PNG,CPI.INDEX,25,25,25,25,28,29,28,28,27,0
UGA,CPI.INDEX,29,26,26,25,25,26,26,28,27,0
BGD,CPI.INDEX,26,27,25,25,26,28,26,26,26,0
CAF,CPI.INDEX,26,25,24,24,20,23,26,25,26,0
UZB,CPI.INDEX,17,17,18,19,21,22,23,25,26,0
CMR,CPI.INDEX,26,25,27,27,26,25,25,25,25,0
GTM,CPI.INDEX,33,29,32,28,28,28,27,26,25,0
IRN,CPI.INDEX,28,25,27,27,29,30,28,26,25,0
LBN,CPI.INDEX,30,28,27,28,28,28,28,28,25,0
MDG,CPI.INDEX,32,28,28,28,26,24,25,24,25,0
MOZ,CPI.INDEX,31,30,31,31,27,25,23,26,25,0
NGA,CPI.INDEX,27,25,27,26,28,27,27,26,25,0
TJK,CPI.INDEX,22,22,23,26,25,21,25,25,25,0
HND,CPI.INDEX,28,26,29,31,30,29,29,26,24,0
ZWE,CPI.INDEX,20,21,21,21,22,22,22,24,24,0
NIC,CPI.INDEX,29,28,28,27,26,26,25,22,22,0
KHM,CPI.INDEX,22,20,21,21,21,21,20,20,21,0
TCD,CPI.INDEX,19,19,22,22,20,20,19,20,21,0
COM,CPI.INDEX,28,28,26,26,24,27,27,25,21,0
ERI,CPI.INDEX,25,20,18,18,18,20,24,23,21,0
IRQ,CPI.INDEX,18,16,16,16,17,18,18,20,21,0
AFG,CPI.INDEX,8,8,12,11,15,15,16,16,19,0
BDI,CPI.INDEX,19,21,20,21,20,22,17,19,19,0
COG,CPI.INDEX,26,22,23,23,20,21,19,19,19,0
GNB,CPI.INDEX,25,19,19,17,16,17,16,18,19,0
TKM,CPI.INDEX,17,17,17,18,22,19,20,19,19,0
COD,CPI.INDEX,21,22,22,22,21,21,20,18,18,0
HTI,CPI.INDEX,19,19,19,17,20,22,20,18,18,0
PRK,CPI.INDEX,8,8,8,8,12,17,14,17,18,0
LBY,CPI.INDEX,21,15,18,16,14,17,17,18,17,0
GNQ,CPI.INDEX,20,19,,,,17,16,16,16,0
SDN,CPI.INDEX,13,11,11,12,14,16,16,16,16,0
VEN,CPI.INDEX,19,20,19,17,17,18,18,16,15,0
YEM,CPI.INDEX,23,18,19,18,14,16,14,15,15,0
SYR,CPI.INDEX,26,17,20,18,13,14,13,13,14,0
SOM,CPI.INDEX,8,8,8,8,10,9,10,9,12,0
SSD,CPI.INDEX,,14,15,15,11,12,13,12,12,0
